1,9290,11/7/13 4:34,1,1
2,2262,11/10/13 2:44,1,1
3,9588,11/13/13 1:49,1,1
4,1634,11/6/13 20:44,1,1
5,4440,11/10/13 5:19,1,1
6,6950,11/11/13 11:29,1,1
7,4095,11/12/13 14:38,1,1
8,5727,11/12/13 6:03,2,2
9,9128,11/13/13 1:48,3,4
10,5160,11/8/13 4:31,3,4
11,1030,11/10/13 18:56,3,4
12,5179,11/8/13 16:36,3,4
13,3450,11/12/13 12:00,3,4
14,4978,11/10/13 1:51,3,4
15,8924,11/10/13 11:31,3,4
16,2277,11/9/13 1:16,3,4
17,3442,11/10/13 4:16,4,7
18,5375,11/8/13 12:21,4,5
19,9035,11/11/13 3:37,4,6
20,51,11/10/13 9:48,4,5
21,8963,11/10/13 12:26,4,7
22,7180,11/12/13 6:40,5,9
23,8382,11/9/13 8:13,5,8
24,3776,11/8/13 16:12,5,8
25,4951,11/9/13 23:42,5,9
26,9690,11/9/13 21:45,5,9
27,2851,11/13/13 4:14,5,10
28,9015,11/6/13 14:19,5,8
29,8445,11/11/13 6:44,5,8
30,7459,11/10/13 1:44,5,8
31,2977,11/9/13 10:57,6,13
32,1980,11/12/13 3:41,7,14
33,8559,11/11/13 6:26,7,14
34,6027,11/7/13 13:01,7,14
35,8375,11/10/13 17:04,7,14
36,6433,11/11/13 15:39,7,14
37,6350,11/7/13 20:25,7,14
38,1995,11/11/13 16:20,7,14
39,9348,11/8/13 10:38,8,17
40,5432,11/12/13 1:22,8,15
41,4263,11/8/13 16:36,8,16
42,3043,11/7/13 12:01,8,17
43,8222,11/13/13 5:56,8,17
44,1458,11/10/13 1:42,8,17
45,7011,11/7/13 20:57,8,18
46,9111,11/8/13 16:05,8,18
47,8150,11/8/13 0:40,8,15
48,2510,11/10/13 0:43,9,21
49,3697,11/11/13 18:43,9,20
50,5420,11/7/13 19:30,9,19
51,9341,11/9/13 10:18,9,21
52,3461,11/13/13 5:05,9,22
53,844,11/8/13 21:50,10,27
54,1410,11/12/13 23:13,10,27
55,9333,11/9/13 15:44,10,25
56,2731,11/10/13 1:37,10,25
57,5017,11/12/13 19:57,10,27
58,4111,11/11/13 0:27,10,26
59,3233,11/8/13 11:50,10,23
60,5949,11/11/13 2:43,10,23
61,626,11/7/13 15:47,11,28
62,8296,11/7/13 0:31,11,32
63,4522,11/8/13 23:23,11,28
64,8362,11/7/13 5:30,11,30
65,9460,11/13/13 0:58,11,32
66,9711,11/11/13 15:36,12,35
67,963,11/8/13 15:12,12,33
68,295,11/10/13 1:21,12,33
69,10,11/10/13 0:03,13,38
70,2838,11/9/13 13:30,13,38
71,564,11/8/13 18:43,14,40
